name,stars,address,cadena,tarifa,price,hotel_url
Pinares de Mayarí,3,"LG oma la Mesura Pinares de Mayari, S/N HOLGUIN",Gaviota,Alojamiento y desayuno,"USD40,50",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;46963&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Club Amigo Atlántico - Guardalavaca,3,"LG Playa Guardalacava, 84170, S/N HOLGUIN",Cubanacan,AI,"USD56,35",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;52956&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Paradisus Río de Oro Resort & Spa,5,Playa Esmeralda - Crta. Guardalavaca Holguin,Meliá,,No disponible,
Sol Río De Luna y Mares,4,Playa esmeralda - Crta. De Guardalavaca Holguin,Meliá,,No disponible,
Villa Mirador de Mayabe,3,Carretera de Mayabe Km 8 Holguin,Islazul,,No disponible,
Hotel Miraflores,2,"Avenida Calixto García % Ave 7 de diciembre y Calle Pedro Agustín, Reparto Miraflores, Moa, Holguin Holguin",Islazul,,No disponible,
Villa El Bosque,2,"Jorge Dimitrov, Esq. a 9na. , Holguín Holguin",Islazul,,No disponible,
