name,stars,address,cadena,tarifa,price,hotel_url
Hotel Faro Luna,3,"CR Carretera Rancho Luna Km.18, S/N Cienfuegos",GranCaribe,Alojamiento y desayuno,"USD28,60",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;52853&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Yaguanabo,3,"CR Carretera a Trinidad, km 55, S/N Cienfuegos",Islazul,Alojamiento y desayuno,"USD46,00",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;53211&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Meliá San Carlos,4,"Calle San Carlos S/N, between Gacel and Horrutinier Cienfuegos",Meliá,,No disponible,
HOTEL LA UNIÓN managed by Meliá Hotels International,4,Calle 31 (D‘ Clouet) between 54 and 56 Cienfuegos Cienfuegos,Meliá,,No disponible,
JAGUA managed by Meliá Hotels International,4,Calle 37 between 0 and 2. Punta Gorda Cienfuegos Cienfuegos,Meliá,,No disponible,
Hotel Punta Las Cuevas,1,Avenida 5 de Septiembre Km3 y 1/2 Cienfuegos,Islazul,,No disponible,
