name,stars,address,cadena,tarifa,price,hotel_url
Porto Santo,3,"CL Aeropuerto Street, S/N BARACOA",Gaviota,Alojamiento y desayuno,"USD36,00",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;46930&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Martí,3,"CL Calixto Garcia Esquina Aguilera, S/N Guantanamo",Islazul,Alojamiento y desayuno,"USD39,00",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;53223&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Baracoa,3,"CL 24 de Febrero esquina Ave. Malecón, S/N BARACOA",Gaviota,Alojamiento y desayuno,"USD40,50",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;52815&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Maguana,4,"CR arretera a Moa Km 22, SN Baracoa",Gaviota,Alojamiento y desayuno,"USD52,50",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;46929&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Hotel Guantánamo,3,Ahohado y el 13 norte Guantanamo,Islazul,,No disponible,
Villa La Lupe,2,"Carretera a El Salvador KM 3 y Medio, El Salvador, Guantánamo Guantanamo",Islazul,,No disponible,
Hotel Faro de Maisí,3,"La Asuncion, Maisí Guantanamo",Islazul,,No disponible,
Villa Punta de Maisí,2,"Punta de Maisí, Maisí. Guantanamo",Islazul,,No disponible,
Hotel Caimanera,2,Loma Norte. Caimanera. Guantanamo Guantanamo,Islazul,,No disponible,
