name,stars,address,cadena,tarifa,price,hotel_url
Santo Domingo,2,"CR Carretera a la Plata km16, Santo Domingo, Granma, S/N Granma",Islazul,Alojamiento y desayuno,"USD56,00",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;53188&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Villa Bayamo,2,Carretera Central Vía Manzanillo Km 5 ½ Granma,Islazul,,No disponible,
Hotel Guacanayabo,2,Avenida Camilo Cienfuegos Granma,Islazul,,No disponible,
Villa Balcón de la Sierra,2,Carreter Providencia Km 1 Masó Granma,Islazul,,No disponible,
Hotel Niquero,2,"CALLE: MARTI NO. 100 NIQUERO, GRANMA Granma",Islazul,,No disponible,
Hotel Telégrafo,4,"275 Jose A Saco, Bayamo Granma",Islazul,,No disponible,
