name,stars,address,cadena,tarifa,price,hotel_url
Moka,4,"CR Km 52 ½ Autopista Habana-Pinar del Río, Candelaria, S/N ARTEMISA",Cubanacan,Alojamiento y desayuno,"USD29,92",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;53010&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
Horizontes Soroa,2,"CR Carretera Soroa km 8/12, S/N, municipio Candelaria, S/N CENTRO HABANA",Cubanacan,Alojamiento y desayuno,"USD36,41",https://www.cuba.travel//Hotel/Detail?propertyNumber=HT;52961&refpoint=La_Habana&iata=HAV&checkIn=20250604&checkOut=20250605&rooms=1&adults=1&children=0&ages=0&currency=USD&tab=info
