name,stars,address,cadena,tarifa,price,hotel_url
Las Yagrumas,2,"CL 40 y Final Autopista, S/N Artemisa",Islazul,Alojamiento y desayuno,"USD34,00",
Horizontes Soroa,2,"CR Carretera Soroa km 8/12, S/N, municipio Candelaria, S/N CENTRO HABANA",Cubanacan,Alojamiento y desayuno,"USD40,00",
Moka,4,"CR Km 52 ½ Autopista Habana-Pinar del Río, Candelaria, S/N ARTEMISA",Cubanacan,Alojamiento y desayuno,"USD44,00",
