name,stars,address,cadena,tarifa,price,hotel_url
Hotel Faro Luna,3,"CR Carretera Rancho Luna Km.18, S/N Cienfuegos",GranCaribe,Alojamiento y desayuno,"USD44,00",
Hotel Rancho Luna,3,"CR Carr. Rancho Luna, Km. 17, S/N Cienfuegos",GranCaribe,Todo Incluido,"USD74,00",
Meliá San Carlos,4,"Calle San Carlos S/N, between Gacel and Horrutinier Cienfuegos",Meliá,Bed & breakfast,"USD111,58",
HOTEL LA UNIÓN managed by Meliá Hotels International,4,Calle 31 (D‘ Clouet) between 54 and 56 Cienfuegos Cienfuegos,Meliá,,No disponible,
JAGUA managed by Meliá Hotels International,4,Calle 37 between 0 and 2. Punta Gorda Cienfuegos Cienfuegos,Meliá,,No disponible,
Hotel Punta Las Cuevas,1,Avenida 5 de Septiembre Km3 y 1/2 Cienfuegos,Islazul,,No disponible,
