exp,nights,budget,destino,pso_num_particles,pso_alpha,pso_beta,pso_gamma,pso_fitness,aco_num_ants,aco_evaporation,aco_alpha,aco_beta,aco_gamma,aco_fitness
1,8,218,Santiago,16,0.7467547242708816,1.362210182992098,0.8910350927370204,0.16269202297121216,17,0.17651366488275944,0.7375255105700694,1.3994836593409652,0.8629908300889655,0.40466977059166853
2,3,340,Cienfuegos,36,1.0862135105570736,1.0058697164176857,0.9079167730252404,-0.2093566861109792,31,0.25795570211668817,1.1049586728113392,1.1785920723661127,0.716449254822548,0.4746114535189447
3,7,401,Holguín,18,0.40585529054034897,1.0584790960678043,1.5356656133918467,-0.5624838726280912,20,0.5100183844325109,0.8652480158353264,0.8805921111232037,1.2541598730414696,0.1690743862584373
4,3,280,Santa Maria,35,1.4270776230871876,0.8198867596967144,0.753035617216098,0.3709124417813284,44,0.7549831701937342,1.648966287731624,0.7302659550910797,0.6207677571772965,1.1143274657227271
5,8,748,La Habana,30,1.2783994511967942,0.46135506900518414,1.2602454797980218,1.1751810289786853,50,0.3733369147707861,1.0392060883648142,0.5613279639454943,1.3994659476896913,0.8656227420844806
6,8,1256,Cienfuegos,46,1.4384535162764975,0.8037151682900975,0.7578313154334048,1.1938562000602113,46,0.6242693840782245,1.1857550054355799,1.1943409395598183,0.6199040550046018,0.6489116319217455
7,8,691,Santa Maria,49,1.168889319056346,0.4289889892031116,1.4021216917405424,0.8796832589194169,27,0.4616968102723499,0.7997621079922898,0.7003965664297123,1.4998413255779983,0.3545157693145193
8,3,921,Holguín,49,1.5013903305506313,0.7363405343687572,0.7622691350806112,0.9918954163807985,23,0.5191014978794264,1.0598181668599969,0.8578408766795742,1.0823409564604292,0.8128916884980726
9,9,666,Matanzas,12,0.5353371111239695,1.193892161387147,1.2707707274888835,-0.9071744028707516,21,0.35487144238354196,0.4092038227773379,1.5402995802017558,1.0504965970209061,-0.19017760072591966
10,10,1177,La Habana,42,1.3131746956344612,1.1181981542541253,0.5686271501114134,0.781986862775929,49,0.7685294133753058,1.2303391770224748,1.0593336278343282,0.7103271951431971,0.06449526945057082
11,4,1497,Varadero,41,1.0372577860085912,1.1111522266002956,0.8515899873911132,0.678839554981854,35,0.3601334707634051,0.8483499040042396,0.9010175176605886,1.2506325783351715,0.16274458114048218
12,5,605,Ciego de Ávila,44,1.1500595902207695,0.6673153053672112,1.1826251044120188,0.7376380215067629,16,0.6786100805780391,0.5984369129883361,1.6343911060413165,0.7671719809703476,-1.0704654560858873
13,4,892,Santiago,35,0.8346124399823954,1.5576192389965606,0.6077683210210437,-0.04301084147259038,49,0.5100382189113198,1.3740448260395643,0.6592919960115945,0.9666631779488414,0.7800627311437389
14,8,780,Ciego de Ávila,20,0.929652704900585,0.9823522400213098,1.0879950550781052,-0.15190359025754724,49,0.1140817775243335,1.1137281472982767,1.0164916556871968,0.8697801970145265,0.44336921345604996
