name,stars,address,cadena,tarifa,price,hotel_url,destino
E Barcelona,4,"José Antonio Peña #41/Maceo y La Pastora,Remedios, Villa Clara, Cuba. VILLA CLARA",Cubanacan,Alojamiento y desayuno,"USD44,00",,Santa Maria
E Central Villa Clara,4,"CL Calle Parque e/ Padre Chao y Marta Abreus Reparto Pastora, S/N Santa Clara",Cubanacan,Alojamiento y desayuno,"USD44,00",,Santa Maria
Hanabanilla,3,"LG El Salto, S/N Santa Clara",Islazul,Alojamiento y desayuno,"USD46,00",,Santa Maria
Cubanacan América,3,"CL Maceo y Colón, S/N VILLA CLARA",Cubanacan,Alojamiento y desayuno,"USD50,00",,Santa Maria
Floreale,4,"CL Rafael Trist, entre parque Vidal y Villuendas, 4 Santa Clara",Islazul,Alojamiento y desayuno,"USD51,00",,Santa Maria
Sol Cayo Santa María,4,Cayo Santa María,Meliá,All inclusive,"USD77,34",,Santa Maria
Meliá Cayo Santa María,5,Cayo Santa María - Jardines del Rey,Meliá,All inclusive,"USD106,01",,Santa Maria
Meliá Buenavista,5,"Cuba, No 6 Cayo Santa María - Villa Clara",Meliá,All inclusive,"USD172,90",,Santa Maria
Paradisus Los Cayos,5,"Cayo Santa María, km 48, Jardines del Rey, Caibarién",Meliá,All inclusive,"USD182,71",,Santa Maria
Meliá Las Dunas,5,"Cayo Santa María, Jardines del Rey",Meliá,,No disponible,,Santa Maria
E El Cobre,4,"CL Poblado el Cobre, S/N SANTIAGO DE CUBA",Cubanacan,Alojamiento y desayuno,"USD40,00",,Santiago
Gaviota Santiago,3,"AV Avenida Manduley No. 502 e/ 19 y 21, S/N Santiago de Cuba",Gaviota,Alojamiento y desayuno,"USD40,50",,Santiago
Rex,3,"AV Garzón, e/ Pizarro y Perez Carbo, 10 ALTOS, S/N Santiago de Cuba",Islazul,Alojamiento y desayuno,"USD42,00",,Santiago
Club Amigo Carisol,3,"CR Baconao km. 51, S/N SANTIAGO DE CUBA",Cubanacan,AI,"USD44,00",,Santiago
Cubanacan Imperial,4,"CL Enramadas, Esq. Santo Tomás, S/N SANTIAGO DE CUBA",Cubanacan,Alojamiento y desayuno,"USD50,00",,Santiago
Brisas Sierra Mar,4,"CR Carretera a Chivirico km 60, S/N SANTIAGO DE CUBA",Cubanacan,AI,"USD54,51",,Santiago
Meliá Santiago de Cuba,0,Avd. de las Américas y Calle M Santiago,Meliá,Bed & breakfast,"USD104,21",,Santiago
Hotel Libertad,3,Aguilera y Plaza de Marte Santiago,Islazul,,No disponible,,Santiago
Hotel Gran Piedra,2,Carretera km 14 s/n Santiago de Cuba Santiago,Islazul,,No disponible,,Santiago
Hotel Las Américas,3,Avenida Las Américas esq General Cebreco. Santiago,Islazul,,No disponible,,Santiago
Hotel Costa Morena,2,"Carretera Baconao km 38 ½, Sigua, Santiago de Cuba Santiago",Islazul,,No disponible,,Santiago
Hotel Rancho Club,3,"Altos de Quintero, Santiago de Cuba Santiago",Islazul,,No disponible,,Santiago
Hotel Deportivo,3,"Calle E, Reparto Terrazas, Santiago de Cuba. Santiago",Islazul,,No disponible,,Santiago
Hotel San Juan,3,Ctra de Siboney km 1 1/2 Vista Alegre Santiago,Islazul,,No disponible,,Santiago
Hotel Balcón del Caribe,2,Ctra del Morro km 7 1/2. Stgo de Cuba Santiago,Islazul,,No disponible,,Santiago
Hotel Faro Luna,3,"CR Carretera Rancho Luna Km.18, S/N Cienfuegos",GranCaribe,Alojamiento y desayuno,"USD44,00",,Cienfuegos
Hotel Rancho Luna,3,"CR Carr. Rancho Luna, Km. 17, S/N Cienfuegos",GranCaribe,Todo Incluido,"USD74,00",,Cienfuegos
Meliá San Carlos,4,"Calle San Carlos S/N, between Gacel and Horrutinier Cienfuegos",Meliá,Bed & breakfast,"USD111,58",,Cienfuegos
HOTEL LA UNIÓN managed by Meliá Hotels International,4,Calle 31 (D‘ Clouet) between 54 and 56 Cienfuegos Cienfuegos,Meliá,,No disponible,,Cienfuegos
JAGUA managed by Meliá Hotels International,4,Calle 37 between 0 and 2. Punta Gorda Cienfuegos Cienfuegos,Meliá,,No disponible,,Cienfuegos
Hotel Punta Las Cuevas,1,Avenida 5 de Septiembre Km3 y 1/2 Cienfuegos,Islazul,,No disponible,,Cienfuegos
E Ordoño,4,"CL J. Peralta Donato Mármol e Independencia, S/N HOLGUIN",Cubanacan,Alojamiento y desayuno,"USD40,00",,Holguín
Pinares de Mayarí,3,"LG oma la Mesura Pinares de Mayari, S/N HOLGUIN",Gaviota,Alojamiento y desayuno,"USD40,50",,Holguín
Cayo Saetía,3,"LG Cayo Saetia, S/N HOLGUIN",Gaviota,Alojamiento y desayuno,"USD45,00",,Holguín
Pernik,3,"AV Avenida Jorge Dimitrov y Plaza de la Revolución,, S/N Holguín",Islazul,Alojamiento y desayuno,"USD47,00",,Holguín
Club Amigo Atlántico - Guardalavaca,3,"LG Playa Guardalacava, 84170, S/N HOLGUIN",Cubanacan,AI,"USD50,00",,Holguín
Sol Río De Luna y Mares,4,Playa esmeralda - Crta. De Guardalavaca Holguin,Meliá,All inclusive,"USD107,23",,Holguín
Paradisus Río de Oro Resort & Spa,5,Playa Esmeralda - Crta. Guardalavaca Holguin,Meliá,All inclusive,"USD171,07",,Holguín
Villa Mirador de Mayabe,3,Carretera de Mayabe Km 8 Holguin,Islazul,,No disponible,,Holguín
Hotel Miraflores,2,"Avenida Calixto García % Ave 7 de diciembre y Calle Pedro Agustín, Reparto Miraflores, Moa, Holguin Holguin",Islazul,,No disponible,,Holguín
Villa El Bosque,2,"Jorge Dimitrov, Esq. a 9na. , Holguín Holguin",Islazul,,No disponible,,Holguín
